Comment,Designator,Footprint,LCSC,Quantity
1kR,"R1,R2",R_0402_1005Metric,C11702,2
BME680,U4,BME680,C125972,1
100nF,"C3,C4,C5,C6,C7,C8",C_0402_1005Metric,C1525,6
BMM150,U3,BMM150,C171681,1
NCP708,U1,NCP708,C183178,1
BMI088,U2,BMI088,C194919,1
LED,"D1,D2",LED_0805_2012,C2297,2
4u7F,"C1,C2",C_0402_1005Metric,C23733,2
4k7R,R4,R_0402_1005Metric,C25900,1
Vbus,J1,PinHeader_1x03_P2.54mm_Vertical,C6332196,1
Right,J3,PinHeader_1x07_P2.54mm_Vertical,,1
Left,J2,PinHeader_1x07_P2.54mm_Vertical,,1
